time,from,to,message
2020-08-07 05:19:22,Shutd0wn,lengmo,最晚啥时候出好
2020-08-07 05:19:36,lengmo,Shutd0wn,8月底吧
2020-08-07 05:19:46,lengmo,Shutd0wn,我们毕竟还要调试环境
2020-08-07 05:19:53,lengmo,Shutd0wn,导进去
2020-08-09 01:15:05,Shutd0wn,lengmo,无糖那个qq漏洞如果我们想用可以吗
2020-08-09 01:15:17,Shutd0wn,lengmo,现在估计不会给用了吧
2020-08-09 01:15:32,lengmo,Shutd0wn,一般不给，除非是我们特别好的客户
2020-08-09 01:16:03,Shutd0wn,lengmo,这个洞外面有流传吗
2020-08-09 01:16:43,lengmo,Shutd0wn,上海安垚好像也有
2020-08-09 01:16:56,lengmo,Shutd0wn,其他的没听说
2020-08-09 01:17:40,lengmo,Shutd0wn,要用的话，无糖收我们10W一个，不成功不收费
2020-08-09 01:23:50,Shutd0wn,lengmo,无声是不是也有
2020-08-09 01:24:13,Shutd0wn,lengmo,刚提笔问我这个漏洞，估计他们想用
2020-08-09 01:26:06,lengmo,Shutd0wn,无声没有
2020-08-09 01:26:22,lengmo,Shutd0wn,让TB 找张瑞东啊，又不是不认识
2020-08-09 01:26:37,lengmo,Shutd0wn,我们参与啥
2020-08-09 01:27:09,lengmo,Shutd0wn,如果是我们重要客户，这个漏洞，之前和张瑞东说过，可以用
2020-08-09 01:28:02,Shutd0wn,lengmo,估计是不想找
2020-08-09 01:28:47,lengmo,Shutd0wn,我们其实也不想找
2020-08-09 01:28:58,Shutd0wn,lengmo,是的
2020-08-09 01:29:06,lengmo,Shutd0wn,不过有的环境下，对我们意义不大
2020-08-09 01:29:32,lengmo,Shutd0wn,总不能让我们去给他们找，没意义
2020-08-09 01:29:45,Shutd0wn,lengmo,他和赵晋龙觉得这个洞价值高
2020-08-09 01:30:05,lengmo,Shutd0wn,看场景
2020-08-09 01:30:30,lengmo,Shutd0wn,之前他们用这个，主要搞菠菜的客服电脑
2020-08-09 01:31:26,lengmo,Shutd0wn,我们现在挖了个菠菜客户系统的一个漏洞，想通过这个漏洞，也可以通过钓鱼搞定客服电脑，成功率也很高，最近搞了好几个
2020-08-09 01:31:37,Shutd0wn,lengmo,嗯
2020-08-09 01:31:42,lengmo,Shutd0wn,谢阳他们组挖的，其实还是可以
2020-08-09 01:31:55,Shutd0wn,lengmo,所以说各有各的办法
2020-08-09 01:31:59,lengmo,Shutd0wn,我们小伙子很多钓鱼都不错
2020-08-09 01:32:05,Shutd0wn,lengmo,提笔他们总是盯着别人的办法
2020-08-09 01:32:07,Shutd0wn,lengmo,[Facepalm]
2020-08-09 01:32:08,lengmo,Shutd0wn,所以不觉得特别牛逼
2020-08-09 01:32:29,lengmo,Shutd0wn,很多对TZ重要的人，会用QQ？
2020-08-09 01:32:32,lengmo,Shutd0wn,意义不大
2020-08-09 01:32:53,lengmo,Shutd0wn,用的多的，估计都是客服类的人
2020-08-10 08:04:13,Shutd0wn,lengmo,盘古出的题目我们这谁对接
2020-08-10 08:07:57,lengmo,Shutd0wn,我问下黄乐
2020-08-10 10:26:34,Shutd0wn,lengmo,云南安洵白卓股份冻结那个事，网上只能查到冻结，没有解冻的信息，能不能问问他情况，目前是否解冻了，如果解冻了给个解冻的凭据
2020-08-10 10:36:07,lengmo,Shutd0wn,好尴尬这个事情，我问问
2020-08-10 10:37:32,Shutd0wn,lengmo,嗯
2020-08-10 10:42:15,lengmo,Shutd0wn,刚问了，说案子已经结了
2020-08-10 10:42:30,lengmo,Shutd0wn,这两个星期内就解冻
2020-08-10 10:42:38,Shutd0wn,lengmo,OK
2020-08-10 10:42:52,lengmo,Shutd0wn,然后我让他看将结案书拍下给我
2020-08-10 10:43:12,Shutd0wn,lengmo,也是牛逼
2020-08-10 10:44:42,lengmo,Shutd0wn,是啊
2020-08-10 10:44:58,lengmo,Shutd0wn,盘古那边出题，吉云辉对接
2020-08-10 12:00:04,Shutd0wn,lengmo,给他了
2020-08-11 01:23:30,lengmo,Shutd0wn,盘古给了几道题啊
2020-08-11 01:25:00,Shutd0wn,lengmo,3个安卓的
2020-08-11 01:26:01,lengmo,Shutd0wn,好的
2020-08-11 03:06:32,lengmo,Shutd0wn,
2020-08-11 03:08:52,lengmo,Shutd0wn,大练兵这种，我们就有绝对的优势
2020-08-11 03:09:49,Shutd0wn,lengmo,[Grin][Grin][Grin]
2020-08-11 03:10:07,lengmo,Shutd0wn,还是很牛逼
2020-08-11 03:10:12,Shutd0wn,lengmo,嗯
2020-08-11 03:10:36,lengmo,Shutd0wn,
2020-08-11 03:10:57,lengmo,Shutd0wn,部里面最近要下发演训的平台的指导意见
2020-08-11 03:11:16,lengmo,Shutd0wn,让我们参加给指导意见
2020-08-11 03:11:31,lengmo,Shutd0wn,说我们在培训这块做的比较好，全国都比较认可
2020-08-11 03:13:47,Shutd0wn,lengmo,嗯嗯
2020-08-11 03:15:07,lengmo,Shutd0wn,以后就看大家队伍能力了
2020-08-11 03:15:14,lengmo,Shutd0wn,技术团队很重要
2020-08-11 03:19:10,lengmo,Shutd0wn,
2020-08-11 03:19:26,lengmo,Shutd0wn,怪不得很多地市找我们··原来部里面出了要求
2020-08-11 03:19:40,Shutd0wn,lengmo,挺好啊，我们市场步伐跟紧
2020-08-11 03:20:01,Shutd0wn,lengmo,搭上这个政策对我们发展很重要
2020-08-11 03:43:36,lengmo,Shutd0wn,据说三所都在外面培训了
2020-08-11 03:43:48,lengmo,Shutd0wn,10个人以内，4天，20W
2020-08-11 03:44:07,lengmo,Shutd0wn,一所三所是部里面指定的能力验证的单位
2020-08-11 03:44:19,lengmo,Shutd0wn,我们打算收他们一半的费用··
2020-08-11 03:44:26,lengmo,Shutd0wn,10个人以内，5天，10万
2020-08-11 03:44:48,Shutd0wn,lengmo,嗯，5天好，带周末了
2020-08-11 03:44:50,lengmo,Shutd0wn,20W 很多地方都嫌贵
2020-08-11 03:45:10,lengmo,Shutd0wn,10W 差不多是他们接受的范围
2020-08-11 03:45:29,lengmo,Shutd0wn,安洵学院要开始挣钱了··
2020-08-11 03:46:07,lengmo,Shutd0wn,最好 30个人开班
2020-08-11 03:52:21,lengmo,Shutd0wn,还有个事，那个我们今年的团建工作，我打算以慈善扶贫加团建的方式来做
2020-08-11 03:52:45,Shutd0wn,lengmo,好啊，去哪扶贫
2020-08-11 03:52:47,Shutd0wn,lengmo,星际？
2020-08-11 03:53:09,lengmo,Shutd0wn,之前政法委的一个处长，8月底9月初，要下去到一个县当县长····我准备和那个县联合搞
2020-08-11 03:53:13,Shutd0wn,lengmo,嗯
2020-08-11 03:53:18,Shutd0wn,lengmo,挺好的，可以
2020-08-11 03:53:25,lengmo,Shutd0wn,几方合作共赢
2020-08-11 03:53:30,lengmo,Shutd0wn,县里面牵头
2020-08-11 03:53:59,lengmo,Shutd0wn,我们公司的，我是想，譬如我们代表公司捐点现金和给学校捐点办公用品和学习用品
2020-08-11 03:54:05,Shutd0wn,lengmo,要得，这个事要做就做漂亮些，该投入就投入，宁可多花点钱
2020-08-11 03:54:17,lengmo,Shutd0wn,然后公司员工自愿捐赠或者将不需要的捐给学生
2020-08-11 03:54:24,lengmo,Shutd0wn,要有意义点
2020-08-11 03:54:33,lengmo,Shutd0wn,刚好我们有这个关系··
2020-08-11 03:54:54,lengmo,Shutd0wn,是个企业担当
2020-08-11 03:55:03,Shutd0wn,lengmo,嗯
2020-08-11 03:55:06,lengmo,Shutd0wn,后面说不定也有生意
2020-08-11 03:55:18,lengmo,Shutd0wn,你觉得我们大概投入多少呢··
2020-08-11 03:55:22,lengmo,Shutd0wn,我之前想的 10W ？
2020-08-11 03:55:54,Shutd0wn,lengmo,可以多点，现金捐赠可以多点，20也可以啊，总比去KTV扶贫有意义吧
2020-08-11 03:56:47,Shutd0wn,lengmo,我觉得看活动规模，公司的现金捐赠我们可以有弹性提高
2020-08-11 03:56:55,lengmo,Shutd0wn,嗯··四川很多甘孜阿坝里面的学校还是很穷的
2020-08-11 03:57:14,lengmo,Shutd0wn,那个人县长是王队的亲表哥
2020-08-11 03:57:20,lengmo,Shutd0wn,我们关系都不错
2020-08-11 03:57:30,lengmo,Shutd0wn,王堰之前那个事情，也是他出面找的人··
2020-08-11 03:57:44,Shutd0wn,lengmo,嗯
2020-08-11 03:57:47,lengmo,Shutd0wn,现在省政法委的处长，说是下去锻炼
2020-08-11 03:57:51,lengmo,Shutd0wn,估计后面肯定要回来
2020-08-11 03:58:20,lengmo,Shutd0wn,刚好他下去，我们去扶贫加团建
2020-08-11 03:58:32,lengmo,Shutd0wn,直接和县里面合作，也是他的政绩
2020-08-11 03:59:04,Shutd0wn,lengmo,有初步意向后让市场部出出点子，怎么最大化达到共赢效果
2020-08-11 03:59:14,Shutd0wn,lengmo,我们确实也需要
2020-08-11 04:00:11,lengmo,Shutd0wn,嗯··是啊··
2020-08-11 04:00:23,lengmo,Shutd0wn,一帮人出去吃喝玩，去哪都一样
2020-08-11 04:00:28,lengmo,Shutd0wn,不如做点有意义的
2020-08-11 04:01:01,lengmo,Shutd0wn,我们是四川的企业，在四川扶贫，为以后挣点印象分
2020-08-11 04:06:13,Shutd0wn,lengmo,对公司来说是有必要的
2020-08-11 04:07:19,lengmo,Shutd0wn,嗯
2020-08-11 06:31:56,Shutd0wn,lengmo,有个事你重视一下，不知道哪儿传的说我们两个关系有问题，你呢日常注意一下，同时适当表表态，不要让公司的人觉得我们关系不好啥的，导致有什么其他想法。
2020-08-11 06:32:46,lengmo,Shutd0wn,这谁说的··[Awkward]
2020-08-11 06:32:58,Shutd0wn,lengmo,目前爬坡关键时刻，整体团结第一，不能内部有问题，技术部有点政策变动就有人要走，所以管理还是很微妙的
2020-08-11 06:33:18,Shutd0wn,lengmo,我怀疑是外部的人传进来的
2020-08-11 06:33:25,Shutd0wn,lengmo,不过你也别追究了
2020-08-11 06:33:48,lengmo,Shutd0wn,嗯··
2020-08-11 06:33:49,lengmo,Shutd0wn,好的
2020-08-11 06:47:52,lengmo,Shutd0wn,奇安信那个投资款是不是要等到年底了·
2020-08-11 06:48:25,lengmo,Shutd0wn,最近不是一直资金紧张嘛，下面很多部门的申请付款都压着了···
2020-08-11 06:48:58,Shutd0wn,lengmo,目前判断是这样的，时间锁定五个月的嘛，刚好年底前
2020-08-11 06:49:31,lengmo,Shutd0wn,这个看业绩，是怎么看
2020-08-11 06:49:42,lengmo,Shutd0wn,刚财务说，目前，销售业绩不是很理想
2020-08-11 06:50:38,Shutd0wn,lengmo,利润为正，业绩比去年有较大增长，不低于6000万
2020-08-11 06:50:56,Shutd0wn,lengmo,应该不算太高要求
2020-08-11 06:51:13,Shutd0wn,lengmo,这个是基本要求
2020-08-11 06:51:41,Shutd0wn,lengmo,现金流是比较紧张啊，正现金流不多，支出一分没少
2020-08-11 06:53:02,Shutd0wn,lengmo,具体情况我让陶婷婷给你汇报吧
2020-08-11 06:53:24,lengmo,Shutd0wn,嗯··现在很多项目，都比较尴尬··都是签好后，先交付产品，交付完，付 70%
2020-08-11 06:53:44,lengmo,Shutd0wn,然后我们又是总包，要等其他家的一起交付··
2020-08-11 06:53:56,lengmo,Shutd0wn,陕西的项目就被安胜坑比了··
2020-08-11 06:54:12,lengmo,Shutd0wn,3月份就让验收，一直到7月底才交付··
2020-08-11 11:38:07,lengmo,Shutd0wn,
2020-08-11 11:38:37,lengmo,Shutd0wn,这个人是永信的那谁么
2020-08-11 11:39:10,Shutd0wn,lengmo,谁
2020-08-11 11:39:23,Shutd0wn,lengmo,我微信里没这个人
2020-08-11 11:40:04,lengmo,Shutd0wn,不知道哪家公司的
2020-08-12 03:15:23,lengmo,Shutd0wn,今年大环境和机遇都很好，但因为疫情，收款和实际项目落地，还是遇到问题
2020-08-12 03:15:34,lengmo,Shutd0wn,需求很多，找我们的也很多
2020-08-12 03:15:46,lengmo,Shutd0wn,就是青黄不接的时候
2020-08-13 04:54:48,Shutd0wn,lengmo,吉芸辉的二组开始接管了吗
2020-08-13 04:55:06,lengmo,Shutd0wn,转了三个人，研发留了一个人
2020-08-13 04:55:31,Shutd0wn,lengmo,嗯，王堰那边也可以考虑增加一组人
2020-08-13 04:56:23,lengmo,Shutd0wn,嗯
2020-08-13 04:56:29,lengmo,Shutd0wn,王堰带？
2020-08-13 04:56:41,lengmo,Shutd0wn,一组确实发展有点受限
2020-08-13 04:57:37,Shutd0wn,lengmo,是的，石头带，几点考虑，1，让石头在公司业务中有参与感，2，多一组人做专门方向支撑业务总归是好的
2020-08-13 04:58:01,Shutd0wn,lengmo,这一组人做专门方向，做深度不做广度
2020-08-13 04:58:41,lengmo,Shutd0wn,就是人员啊，不好招
2020-08-13 04:59:28,lengmo,Shutd0wn,渗透的人比较紧张，最近好像没咋进，人员成本也高
2020-08-14 00:36:37,lengmo,Shutd0wn,
2020-08-14 00:37:46,lengmo,Shutd0wn,首席生态官
2020-08-14 00:37:55,lengmo,Shutd0wn,是啥职位？[Awkward]
2020-08-14 00:38:27,Shutd0wn,lengmo,就是卖脸的
2020-08-14 00:38:42,lengmo,Shutd0wn,职业混圈子的么
2020-08-14 03:05:50,lengmo,Shutd0wn,拉萨项目，当时真不应该买启明的设备
2020-08-14 03:06:08,lengmo,Shutd0wn,又贵··现在一天打多少个电话催款··也是醉了
2020-08-14 03:06:30,lengmo,Shutd0wn,早知道在周铁那边买，还好说点
2020-08-14 03:08:05,Shutd0wn,lengmo,让他们别打了啊，打了没用
2020-08-14 03:08:10,Shutd0wn,lengmo,拉黑
2020-08-14 03:08:44,Shutd0wn,lengmo,要是有问题，最多他们把设备撤回去？
2020-08-14 03:08:53,Shutd0wn,lengmo,取消合同，我们重新采
2020-08-14 03:09:21,Shutd0wn,lengmo,我们脸皮太薄，集成商这类事太多了，习惯了就好
2020-08-14 03:09:59,lengmo,Shutd0wn,[Awkward]··是啊·
2020-08-14 03:10:02,lengmo,Shutd0wn,还贵
2020-08-14 03:10:15,lengmo,Shutd0wn,叶飞开始给我打电话了·
2020-08-14 03:10:20,Shutd0wn,lengmo,脸皮厚一点
2020-08-14 03:10:25,Shutd0wn,lengmo,推给财务
2020-08-14 03:11:54,lengmo,Shutd0wn,他们也是··早知道这样，麻痹不买他们的··还便宜 8W呢
2020-08-14 03:12:30,Shutd0wn,lengmo,你看呢，不行就取消合同
2020-08-14 03:12:58,Shutd0wn,lengmo,反正款是付不出的，我们一毛钱都没收到，目前垫款也不现实
2020-08-14 03:13:39,lengmo,Shutd0wn,他们就在说合同签的是到货后多少天付款··哈哈··
2020-08-14 03:13:52,lengmo,Shutd0wn,取消了，估计他们也不同意估计
2020-08-14 03:14:41,Shutd0wn,lengmo,别理他们，推给后台财务
2020-08-14 03:14:46,Shutd0wn,lengmo,不行就撤销合同
2020-08-14 03:15:47,Shutd0wn,lengmo,不需要给面子
2020-08-14 03:17:36,lengmo,Shutd0wn,撤销合同，他们第一笔款估计不会退给我们吧
2020-08-14 03:21:39,Shutd0wn,lengmo,就这么一说
2020-08-14 03:21:43,Shutd0wn,lengmo,肯定要退
2020-08-14 03:22:05,Shutd0wn,lengmo,启明估计也缺钱
2020-08-14 03:22:15,Shutd0wn,lengmo,打给我了
2020-08-14 03:22:19,Shutd0wn,lengmo,[Facepalm]
2020-08-14 03:22:25,lengmo,Shutd0wn,这个项目还不是··说是总代出的货
2020-08-14 03:22:29,lengmo,Shutd0wn,总代垫的钱
2020-08-14 03:23:04,lengmo,Shutd0wn,启明应该收了钱的
2020-08-14 03:25:52,Shutd0wn,lengmo,嗯，我和叶飞说了，只能缓缓，我们出不来钱
2020-08-14 03:26:09,lengmo,Shutd0wn,他咋说
2020-08-14 03:26:21,lengmo,Shutd0wn,你没和他说，不行撤销合同啊
2020-08-14 03:26:47,Shutd0wn,lengmo,没说，他例行催我啊，没说到这步
2020-08-14 03:26:57,Shutd0wn,lengmo,表达催款意向
2020-08-14 03:28:35,lengmo,Shutd0wn,嗯··尴尬
2020-08-14 03:28:52,lengmo,Shutd0wn,我看了业绩的成绩，销售目前的业绩有点差
2020-08-14 03:29:04,lengmo,Shutd0wn,基本没啥大单，或者收款
2020-08-14 10:03:07,lengmo,Shutd0wn,王堰想离开一组
2020-08-14 10:03:26,lengmo,Shutd0wn,今天说是和曹顶了几句
2020-08-14 10:03:32,lengmo,Shutd0wn,说比较憋屈
2020-08-14 10:18:27,Shutd0wn,lengmo,具体啥原因
2020-08-14 10:19:04,lengmo,Shutd0wn,
2020-08-14 10:19:33,lengmo,Shutd0wn,觉得不能和曹共事了
2020-08-14 10:20:43,Shutd0wn,lengmo,嗯，过来当然OK，不宜闹僵
2020-08-14 10:20:54,Shutd0wn,lengmo,本质上大家还是一伙的
2020-08-14 10:20:58,lengmo,Shutd0wn,是啊
2020-08-14 10:21:30,lengmo,Shutd0wn,我让他可以将精力换到后面新成立的组
2020-08-14 10:22:13,Shutd0wn,lengmo,
2020-08-14 10:22:33,Shutd0wn,lengmo,
2020-08-14 10:25:07,lengmo,Shutd0wn,我今天和HR 说的安排是，其实一组不仅是王堰，还有肖入荣 王健硕 张波，都是来公司好几年的人，有的都是比谢阳早，但谢阳现在手下都二三十号人了，他们还是一个人，心理肯定有想法
2020-08-14 10:25:33,lengmo,Shutd0wn,我意思是一组新增的人，总体王堰管，但分给他们三个人带
2020-08-14 10:25:56,lengmo,Shutd0wn,后面成熟了，这三个人各成了一个组
2020-08-14 10:26:10,Shutd0wn,lengmo,嗯
2020-08-14 10:26:12,lengmo,Shutd0wn,这样和二组三组就算是平衡了，都一样
2020-08-14 10:26:34,lengmo,Shutd0wn,让核心老员工都有归属感
2020-08-14 10:29:06,Shutd0wn,lengmo,对的，就是这意思
2020-08-14 10:29:28,lengmo,Shutd0wn,现在人也不好招啊
2020-08-14 10:43:49,Shutd0wn,lengmo,多找些人源渠道，四川都不好找其他省更别说了
2020-08-14 10:46:20,lengmo,Shutd0wn,今天HR 还在说，渗透这块，确实我们待遇竞争性不高，很多外面来成都开公司，薪资还是有竞争力，特别是信工的人，周围圈子去其他公司的比较多，然后技术部离职的一个，就是觉得他们班上有个技术不如他的，现在工资都比他高，他就有想法了
2020-08-14 10:47:37,Shutd0wn,lengmo,可以提高，拿个方案出来讨论
2020-08-14 10:48:09,lengmo,Shutd0wn,我建议还是慢慢缩短差距吧，毕竟要平衡很多
2020-08-14 10:48:28,lengmo,Shutd0wn,而且这样用人成品高很多
2020-08-14 10:48:38,lengmo,Shutd0wn,逐步减小
2020-08-14 10:48:43,lengmo,Shutd0wn,每天都加点
2020-08-16 08:35:55,Shutd0wn,lengmo,你明天有安排吗
2020-08-16 08:36:09,Shutd0wn,lengmo,约了奇安信公安事业部开会聊聊合作
2020-08-16 08:36:34,lengmo,Shutd0wn,和谁？何春林啊
2020-08-16 08:36:50,Shutd0wn,lengmo,tb组织吧，老何在的
2020-08-16 08:37:02,lengmo,Shutd0wn,线上啊
2020-08-16 08:37:19,lengmo,Shutd0wn,TB 搀和那么积极啊
2020-08-16 08:37:29,Shutd0wn,lengmo,见面会，现在大家约下时间
2020-08-16 08:37:34,Shutd0wn,lengmo,在上海开
2020-08-16 08:38:20,Shutd0wn,lengmo,有压力吧
2020-08-16 08:38:35,lengmo,Shutd0wn,不是投资还没定么
2020-08-16 08:38:39,lengmo,Shutd0wn,开啥开
2020-08-16 08:39:56,Shutd0wn,lengmo,两边并行，又不是开完会就要开始做业务
2020-08-16 08:40:22,lengmo,Shutd0wn,那主要聊啥呢
2020-08-16 08:40:28,Shutd0wn,lengmo,先看时间
2020-08-16 08:40:43,Shutd0wn,lengmo,聊什么一会说
2020-08-16 08:41:43,Shutd0wn,lengmo,tb发的 ：早点对一下合作的事情，还有mq平台看看怎么配合。
2020-08-16 08:42:27,lengmo,Shutd0wn,很积极
2020-08-16 08:43:02,lengmo,Shutd0wn,估计这个阶段也聊不出啥，我们不可能坦诚和他们说的
2020-08-16 08:43:07,lengmo,Shutd0wn,肯定都遮遮掩掩的
2020-08-16 08:43:13,lengmo,Shutd0wn,没啥意义
2020-08-16 08:43:51,Shutd0wn,lengmo,主要是明确意向和态度
2020-08-16 08:44:01,Shutd0wn,lengmo,另外有可能的方向深入聊下
2020-08-16 08:44:47,lengmo,Shutd0wn,现在肯定都是扯扯淡算了
2020-08-16 08:44:59,Shutd0wn,lengmo,我问下周伟伟
2020-08-16 08:45:09,Shutd0wn,lengmo,时间方便的话也让他来
2020-08-16 08:46:23,lengmo,Shutd0wn,嗯
2020-08-16 08:48:49,Shutd0wn,lengmo,他还不行，日
2020-08-16 08:49:11,Shutd0wn,lengmo,你订票吧，定了明天下午在上海盘古见面
2020-08-16 08:50:08,lengmo,Shutd0wn,明天？那么急？明天下午还约了人在公司见面
2020-08-16 08:50:12,lengmo,Shutd0wn,周二嘛
2020-08-16 08:50:26,lengmo,Shutd0wn,哪有他们今天约明天的
2020-08-16 08:52:11,Shutd0wn,lengmo,周二上午？
2020-08-16 08:53:19,lengmo,Shutd0wn,我周二上午飞机，下午可以谈
2020-08-16 08:53:36,lengmo,Shutd0wn,上午早班飞机来不及
2020-08-16 09:42:30,Shutd0wn,lengmo,你明天约了谁
2020-08-16 09:42:36,Shutd0wn,lengmo,能改期么
2020-08-16 09:43:17,lengmo,Shutd0wn,四川厅的过来交流案件打击
2020-08-16 09:43:54,Shutd0wn,lengmo,几点啊
2020-08-16 09:44:16,lengmo,Shutd0wn,下午过来
