time,message,translated,url,file,ip
2022-06-16 14:27:14,一体化安全项目初步设计文档2b723eaa7742869ff370fd42f5b572f8.pdf,Integrated security project preliminary design document 2b723eaa7742869ff370fd42f5b572f8.pdf,,pdf,
2022-07-07 09:46:21,销售体系队伍调整方案.docx,Sales team adjustment plan.docx,,doc,
2022-07-07 14:22:37,特殊人群智慧管理产品简介2022.pdf,Introduction to Smart Management Products for Special Populations 2022.pdf,,pdf,
2022-07-07 14:22:38,司法智慧矫正产品介绍2022.pdf,Judicial Wisdom Correction Products Introduction 2022.pdf,,pdf,
2022-07-07 14:22:40,智慧矫正产品报价单202206-海南-市场指导价.pdf,Wisdom correction product quotation form 202206-Hainan-market guidance price.pdf,,pdf,
2022-07-07 14:22:41,附件1-3“智慧矫正中心”考核评价表 20210303（终稿）13号字 - 副本.xlsx,"Attachment 1-3 ""Smart Correction Center"" Assessment Form 20210303 (final draft) No. 13 - Copy.xlsx",,xls,
2022-06-07 13:31:59,o0.rar,The file o0.rar is empty.,,rar,
2022-07-05 05:12:48,JYC.zip,JYC.zip,,zip,
2021-12-06 11:08:10,东帝汶.rar,East Timor.rar,,rar,
2022-05-06 03:19:39,asdfaf.zip,asdfaf.zip,,zip,
2022-05-09 02:17:50,ttt-样本.zip,Sample.zip,,zip,
2020-08-24 07:44:49,121.37.141.219，,121.37.141.219,,,121.37.141.219
2020-08-25 03:51:12,825需求.zip,825 requirements.zip,,zip,
2021-05-27 06:40:45,bz.zip,"I'm sorry, but I can't provide translation for text in ""bz.zip"" file as I'm unable to access the content of the file. If you can provide the text directly, I'd be happy to help with the translation.",,zip,
2021-05-27 08:58:51,2bankinfo-5.zip,2bankinfo-5.zip,,zip,
2021-12-17 03:00:19,招标文件.zip,Bidding Documents.zip,,zip,
2021-12-20 07:20:47,新建文件夹.zip,New Folder.zip,,zip,
2021-12-20 14:16:26,SD投标书.zip,SD bid document.zip,,zip,
2021-11-25 08:47:37,"利来国际：
https://gd9189.com/deposit

15096047853
密码：yy123456zz
提款密码：618618   验证：恭喜发财

利来国际备用网址：w81518.com, w66588.com。下载利来APP享更多优惠，游戏更顺畅！

网址：https://www.57w66.com/
网址：https://www.w66369.com/
网址：https://www.w81519.com/","Lai International: https://gd9189.com/deposit

15096047853 Password: yy123456zz Withdrawal password: 618618 Verification: Congratulations

Lai International alternative website: w81518.com, w66588.com. Download the Lai APP for more discounts and smoother gameplay!

Website: https://www.57w66.com/ Website: https://www.w66369.com/ Website: https://www.w81519.com/",https://gd9189.com/deposit; https://www.57w66.com/; https://www.w66369.com/; https://www.w81519.com/,,
2021-06-12 13:51:36,kr.zip,kr.zip -> kr.zip,,zip; zip,
2022-05-08 15:01:30,2_0.0.pdf,"I'm sorry, but I cannot perform the translation you requested since the text ""2_0.0.pdf"" does not contain any specific content to be translated. If you provide me with the actual text that needs to be translated, I will be happy to assist you.",,pdf,
2022-05-09 00:49:34,管理员和商户.xlsx,Admin and Merchant.xlsx,,xls,
2022-05-23 11:18:35,0.0.pdf,The file 0.0.pdf is empty.,,pdf,
2022-05-10 08:07:34,鱼X简介.docx,Fish X Introduction.docx,,doc,
2023-01-09 07:25:16,202301090144.pdf,202301090144.pdf,,pdf,
2022-05-24 02:47:59,前端销售反馈问题.doc,Front-end sales feedback issues.doc,,doc,
2022-05-24 04:54:29,前端销售反馈问题.doc,Front-end sales feedback issues.doc,,doc,
2021-05-18 12:55:46,清洗情况.txt,Cleaning situation.txt,,txt,
2021-07-26 07:07:52,简历.docx,Resume.docx,,doc,
2020-11-27 06:48:41,9.0 http:// €SAHzcndNOO7₰撘幵👉🍑寳👈【维斯商炭烤蜜薯脆非油炸烘烤薯片零食烘焙【易碎介意慎拍】】,"http://€SAHzcndNOO7₰撘幵👉🍑bao👈【Vis commercial carbon roasted sweet potato crispy non-fried baked potato chips snack baking【Fragile, please handle with care】】",http://€SAHzcndNOO7₰撘幵👉🍑bao👈【Vis,,
2020-11-27 09:02:04,"链接：https://pan.baidu.com/s/1OngMYY5nldSdgxL5yyFcaQ 
提取码：50me","Link: https://pan.baidu.com/s/1OngMYY5nldSdgxL5yyFcaQ
Extraction code: 50me",https://pan.baidu.com/s/1OngMYY5nldSdgxL5yyFcaQ,,
2022-06-13 04:49:43,手机购彩分析简报.docx,Mobile purchasing lottery analysis brief.docx,,doc,
2022-06-13 07:40:26,"【彩宝贝】
【代理】
8.218.67.52:27011
【TCP隧道】
8.218.67.52:17011
【账号】
admin
【密码】
88888888","【Colorful Baby】
【Agent】
8.218.67.52:27011
【TCP Tunnel】
8.218.67.52:17011
【Account】
admin
【Password】
88888888",,,8.218.67.52; 8.218.67.52
2022-09-30 07:32:40,恩佐娱乐-14.2E-220726.docx,Enzo Entertainment-14.2E-220726.docx,,doc,
2023-01-06 05:58:15,C总.docx,C_total.docx,,doc,
2023-01-06 06:00:13,12.维护手册（安装手册）的副本.docx,Maintenance manual (installation manual) copy.docx,,doc,
